latitude,longitude,Actual_Fire,Predicted_Fire,Fire_Probability,Risk_Level
20.04421662,84.06592944,0,1,0.8251630511348838,HIGH
19.46543422,85.02030192,0,0,0.0663011036818857,LOW
18.89392462,82.1906099,0,0,0.5127371895206227,MODERATE
20.37030622,84.07186005,0,0,0.5172452434734818,MODERATE
20.24274472,84.77290654,0,0,0.3757442880056051,MODERATE
18.5145666,82.4500404,1,1,0.9453594741249295,HIGH
19.64922945,82.82490811,0,0,0.1673299802143304,LOW
20.26735896,83.72475024,1,1,0.7306193192904091,HIGH
21.77500332,85.10708049,1,1,0.9806374754926678,HIGH
19.80383094,84.03889391,1,1,0.8966102107449527,HIGH
21.14752754,82.98885142,0,1,0.6229233494475996,MODERATE
18.97513377,82.23183875,1,0,0.37921234783926827,MODERATE
19.45833534,83.43899767,0,1,0.6767308653631475,HIGH
20.53398199,84.79419429,0,1,0.8229968298152996,HIGH
20.17456506,84.90495836,1,1,0.7793530347651157,HIGH
19.10467065,82.42803474,1,0,0.44759996172479427,MODERATE
18.26717121,81.80092015,0,0,0.17505268819590097,LOW
20.06236516,85.43675967,0,0,0.15240826269514318,LOW
18.76771422,83.17471121,1,1,0.8641089910907408,HIGH
20.08572194,85.18981465,0,0,0.06822633790445456,LOW
18.39042077,82.29939413,1,1,0.9004678739408389,HIGH
21.05859523,85.59890596,0,0,0.0938273753652568,LOW
21.4072345,84.10401908,1,1,0.8497023300832869,HIGH
19.91998161,83.57141068,1,1,0.834069062137277,HIGH
20.63369195,83.37386804,0,0,0.25538212052113396,LOW
21.4387648,84.87603217,0,0,0.16392889110901773,LOW
19.50936083,84.55488325,0,1,0.7158900003171251,HIGH
20.24741786,83.72205695,1,1,0.9445267791952872,HIGH
20.43013398,83.86201475,0,1,0.9038641808567738,HIGH
21.00676264,83.180731,0,0,0.15367604819770028,LOW
21.67304597,85.38600618,1,1,0.9429032297529403,HIGH
21.45636934,84.33111218,0,1,0.6070885192067325,MODERATE
19.02759509,84.09548437,0,0,0.2207190098393862,LOW
20.41351491,84.95193945,0,1,0.621351654233083,MODERATE
18.8587111,83.14794323,0,0,0.12840117833236236,LOW
18.85853273,83.22978111,0,1,0.7999693812157479,HIGH
20.62093892,83.20417695,0,0,0.4287166828036544,MODERATE
21.49913211,86.71353407,1,0,0.4853116234021532,MODERATE
19.95600223,83.56556926,1,0,0.4890591693323478,MODERATE
21.75524058,86.97898882,1,1,0.5396677688710583,MODERATE
20.37003868,83.72627972,0,1,0.8065684563450035,HIGH
20.92564713,85.07177333,1,0,0.29436418079391374,LOW
21.40247218,84.76122815,0,0,0.20842616444916487,LOW
18.11813914,81.97968551,1,1,0.8018230696661552,HIGH
20.90345864,84.91313189,1,1,0.670284579778366,HIGH
18.96785652,82.70992573,1,1,0.6911642271951512,HIGH
19.27319346,83.16213655,1,1,0.9333649221790719,HIGH
18.09765849,81.73480505,1,0,0.20571644326995503,LOW
19.62587268,83.81161799,1,1,0.6101641831481439,MODERATE
19.68507171,82.5137342,1,0,0.44719706866847697,MODERATE
19.68686872,83.03520378,1,1,0.6525710729652292,HIGH
19.48591488,82.64327109,1,1,0.9616188330495953,HIGH
19.13000281,84.60842368,0,0,0.41219269303707456,MODERATE
22.21086707,83.66725905,0,1,0.8329890806741524,HIGH
21.71077443,86.49102493,0,1,1.0,HIGH
20.20914985,83.67094227,1,0,0.5179145028560277,MODERATE
19.11221545,82.8023629,1,1,0.8943919191998995,HIGH
19.62667978,83.11461591,1,1,0.7333458731675437,HIGH
19.8825207,85.47134445,1,0,0.2566880982320034,LOW
20.92339974,82.9716928,0,1,0.5971613167258004,MODERATE
21.53569228,83.43208161,0,0,0.42696879380895714,MODERATE
20.54673502,83.12009614,0,0,0.18351314917918501,LOW
21.89762414,86.11876134,0,1,1.0,HIGH
19.47513723,83.89956484,0,1,0.834214415264587,HIGH
19.27589122,83.75053277,0,0,0.1907000885565475,LOW
20.88387427,83.63231308,1,1,0.679373648943087,HIGH
21.8899857,85.03152994,1,0,0.41722244973990197,MODERATE
19.55778221,83.38608598,1,1,0.9708211049277977,HIGH
19.11095799,83.34862507,0,1,0.9502495628806726,HIGH
19.94037308,83.91168914,1,1,0.974710083467337,HIGH
18.79771506,83.1882758,1,1,0.8764919328295805,HIGH
21.70744794,84.58722511,0,0,0.42058926378180017,MODERATE
20.34048376,83.76095369,1,1,0.5853365633464667,MODERATE
18.10197044,81.98058179,1,1,0.9561894069133292,HIGH
20.14105938,83.76409735,1,1,0.9665976569411433,HIGH
21.24795987,85.45823024,0,0,0.4947837031646596,MODERATE
19.74732522,83.11713084,0,1,0.7133747238994235,HIGH
19.9871758,83.88312414,1,1,0.8739687336369144,HIGH
21.07261018,85.57860367,0,0,0.3294705225330393,MODERATE
18.89643955,84.30102217,1,0,0.32202658962190234,MODERATE
21.09102627,84.92858267,0,0,0.46840929846700297,MODERATE
19.77355811,83.97277436,1,1,0.6456752780415811,MODERATE
20.21400135,84.66294957,0,0,0.4869639880515002,MODERATE
18.80624977,83.25996476,1,1,0.6513390485650195,HIGH
20.15641652,83.57715846,1,0,0.44596476450142697,MODERATE
20.40237608,82.56170075,0,1,0.6314191804953668,MODERATE
21.86725766,83.75781002,1,1,0.5429534250807357,MODERATE
19.52274705,83.94501646,1,1,0.8455317120672864,HIGH
19.9863687,82.89048365,0,1,0.7205422749830275,HIGH
22.02302744,83.82581131,0,1,0.5265007033356823,MODERATE
22.01656174,83.56835619,0,0,0.4915125546309439,MODERATE
20.95430131,83.00456975,0,0,0.3540564527665897,MODERATE
19.71211169,85.15082873,0,0,0.3313651275007791,MODERATE
20.01816655,83.42758683,1,1,0.664589850231605,HIGH
19.09047733,84.35878091,1,1,0.6666222505496677,HIGH
19.14150283,82.79337781,1,1,0.5775160561250181,MODERATE
20.02840911,84.56198214,0,0,0.4230344570105268,MODERATE
22.11402877,86.58849196,0,0,0.35294503166870095,MODERATE
19.12910653,84.14570276,0,1,0.5274612934210414,MODERATE
21.25065763,83.57904466,0,0,0.22214736905993962,LOW
20.34650354,83.76607273,1,0,0.429650075453251,MODERATE
19.93157081,83.93998659,1,0,0.4735632614887094,MODERATE
20.74041161,83.44205216,1,0,0.45502723638703135,MODERATE
20.99436633,86.12558822,0,0,0.05309544509189476,LOW
21.91037717,83.7034625,0,1,0.5560161347883369,MODERATE
18.08984614,81.81816795,0,0,0.4118101593662913,MODERATE
20.73061943,84.93208753,0,0,0.41511281991213755,MODERATE
21.74428011,86.13564795,0,1,0.7071952479768437,HIGH
20.20232297,82.40333132,1,1,0.8460493059582391,HIGH
21.66846202,86.8023772,0,0,0.07139798165128257,LOW
19.28657968,83.22151394,1,1,0.7316756434895383,HIGH
18.07007895,82.19869425,1,1,0.8412242005257681,HIGH
18.79897252,82.74172358,0,0,0.12376260182184713,LOW
22.21167417,84.88932921,0,0,0.20827315621034848,LOW
20.04987968,83.5353856,1,1,0.7315402978149088,HIGH
19.59362446,83.95103625,1,1,0.9879778694207162,HIGH
21.84165796,85.03072284,0,1,0.672424873828734,HIGH
21.298807,84.75224306,0,0,0.3985470364315151,MODERATE
19.83581162,83.25915321,1,1,0.9291034503372213,HIGH
19.19180595,84.16465394,0,1,0.6407042641353837,MODERATE
18.22476962,81.66599221,1,1,0.6470352777508876,MODERATE
20.6601032,82.42012875,1,1,0.6774439456827794,HIGH
20.38072714,85.66870427,1,0,0.48407756727068374,MODERATE
21.50999894,86.0021603,0,1,0.5246631927825404,MODERATE
18.95231655,83.76400817,1,0,0.37002057370081476,MODERATE
19.25675721,82.78430354,0,0,0.30060523042475507,MODERATE
21.4624783,86.27408074,0,1,0.6465944602893593,MODERATE
19.10583894,84.179748,0,1,0.6549717137720736,HIGH
19.72881995,83.9556202,1,0,0.43461646733778414,MODERATE
21.59938162,84.12908369,0,1,0.5584657099876515,MODERATE
20.14357431,84.15755951,1,1,0.8520567590474146,HIGH
21.43714615,83.37269976,1,1,0.5318979823822401,MODERATE
19.77292937,83.92938731,1,0,0.4998083706261031,MODERATE
19.62371893,82.48588266,1,0,0.5146596504358169,MODERATE
19.17779545,83.28493573,1,1,0.8029519647097119,HIGH
21.19190451,85.28314809,0,0,0.40900731331276396,MODERATE
20.35395916,83.75430517,1,1,0.868804253392799,HIGH
21.14932456,84.17821853,1,0,0.4968256224394567,MODERATE
19.97253211,84.60707703,1,1,0.7306785323570986,HIGH
19.92582303,83.5275688,1,1,0.9251756398043078,HIGH
19.26044043,83.8776439,0,0,0.3595732291740697,MODERATE
19.57898077,83.80011797,0,0,0.25515953817125386,LOW
20.7502038,83.86246066,0,0,0.17111301224522657,LOW
21.70978451,85.24910286,0,1,0.7767993524700081,HIGH
18.82780953,83.12656184,1,1,0.8897829333532399,HIGH
21.6744818,86.61283419,0,0,0.46476849028508493,MODERATE
18.4851945,82.28511163,1,1,0.9514039194399039,HIGH
19.87291134,83.64480302,1,0,0.4366296577715043,MODERATE
18.81577441,83.10572,1,1,1.0,HIGH
19.61545176,84.49541668,0,0,0.3317572785919803,MODERATE
20.28343848,83.67767997,1,1,0.6428896160667461,MODERATE
19.67115039,83.01553022,1,1,0.561312558047279,MODERATE
19.8749759,84.90208224,0,0,0.058490734953996606,LOW
21.64932802,85.53305841,0,0,0.3954848432202464,MODERATE
18.55966149,82.33703341,1,1,0.7192139335167618,HIGH
18.97710915,84.43109861,1,1,0.8838624601191405,HIGH
19.17959247,83.37072438,0,1,0.5988523953407809,MODERATE
20.8931269,82.93917258,0,1,0.6425616670798229,MODERATE
19.88791175,83.10042259,0,0,0.4455319647630497,MODERATE
21.78416677,85.19475533,1,1,0.8231987980326225,HIGH
20.68202414,84.01419049,0,0,0.20434190630485435,LOW
20.12928735,83.5961141,0,0,0.5029905394692114,MODERATE
19.88314943,83.89094094,1,1,0.6965504720981348,HIGH
20.32718672,83.76184997,1,1,0.7030820681690759,HIGH
18.79025944,83.20121165,1,1,0.9436518242611925,HIGH
21.56659385,86.14436549,0,0,0.3577749262355628,MODERATE
19.74049833,83.78790449,1,1,0.8251989889617344,HIGH
19.45896853,83.20705307,1,1,0.8188352994064916,HIGH
20.56362609,84.59854231,0,1,0.9600423703928579,HIGH
19.38764075,83.218999,1,1,0.6416128767595253,MODERATE
20.38620738,83.11605174,0,0,0.4556956798289735,MODERATE
19.29232746,83.20013701,1,1,0.9875304627528323,HIGH
18.14410448,82.35248419,1,1,0.6927556822995916,HIGH
20.94424158,83.51158292,0,0,0.3378628606869496,MODERATE
19.41045797,83.25816775,1,1,0.8567543018958156,HIGH
19.87515427,83.76257234,1,1,0.8071282784591265,HIGH
19.40767103,83.27604428,0,1,1.0,HIGH
18.96130164,82.83254655,1,1,0.8662125610734154,HIGH
19.29251029,83.62494664,0,0,0.261790615262932,LOW
18.17500605,81.68773032,0,0,0.4393819171517281,MODERATE
21.16325033,84.26472955,0,1,0.5448288799292398,MODERATE
19.93731859,83.54266285,1,1,0.9536193389032138,HIGH
22.14987103,84.52137757,0,1,0.6171518077521667,MODERATE
21.67062022,83.67857625,0,1,0.7099741049819164,HIGH
18.81613114,84.23391716,0,0,0.10607028741438124,LOW
20.13818326,83.57167822,1,0,0.4162061251505743,MODERATE
19.65874963,83.05739226,1,1,0.8704014765506486,HIGH
20.31389414,83.92355035,1,1,0.5425374018250694,MODERATE
20.506942,84.04984993,0,0,0.4188298643231243,MODERATE
19.90947151,83.52101392,1,1,0.9800008408395695,HIGH
21.37552137,85.23535991,0,0,0.43127062389661686,MODERATE
19.86141132,84.93720658,1,1,0.6368035207177052,MODERATE
20.20869948,83.58209914,1,1,0.5487110741807375,MODERATE
22.13998966,84.75350053,0,0,0.2498434453511226,LOW
21.8482173,85.48005754,0,0,0.46767621246504987,MODERATE
19.87713411,83.68091282,1,0,0.41083480441847137,MODERATE
19.31838199,83.3368575,1,1,0.6701362035141663,HIGH
18.78613031,83.1278193,1,1,1.0,HIGH
22.02859686,83.54149457,1,0,0.16260262244514082,LOW
19.71848821,84.189179,1,0,0.41882302508169045,MODERATE
19.08625457,84.34800326,1,1,0.9968700922637614,HIGH
21.52841503,85.13358093,0,1,0.7200065516136014,HIGH
21.56084607,85.11211036,1,1,0.5587537986075395,MODERATE
21.10036808,84.14839606,0,0,0.3808920402956306,MODERATE
19.640338,83.81575158,1,1,0.9734000670030553,HIGH
19.79754361,83.60491636,1,1,0.9526693629402798,HIGH
21.57566813,86.81540669,0,0,0.07142397913333377,LOW
21.35971386,84.06440443,0,1,0.7275587029658774,HIGH
18.92770231,83.37243221,1,1,1.0,HIGH
20.3140725,85.58848504,0,0,0.3216820293939214,MODERATE
21.6895714,84.12063815,1,0,0.5096905925827719,MODERATE
21.4395719,84.7663472,0,0,0.1603833327454737,LOW
19.92483311,83.28870813,0,0,0.49440810400467794,MODERATE
19.59982261,83.45839922,0,0,0.3329923514059081,MODERATE
20.14941128,86.01869019,0,0,0.05680185116053535,LOW
20.14716389,83.80290491,1,1,0.8617195224909042,HIGH
18.94270273,82.23642271,1,0,0.5119117666057611,MODERATE
19.83814373,83.2711036,1,0,0.46376630177421013,MODERATE
21.22478592,84.89157214,0,0,0.18122120642359316,LOW
18.67590579,82.48767968,1,1,0.9953105650056814,HIGH
18.9536632,82.77532291,0,0,0.31443906993495463,MODERATE
19.89069869,85.87783165,0,0,0.021246641196893425,LOW
20.55922496,83.9782546,0,0,0.11825402463920626,LOW
21.70646248,85.15316084,1,1,0.6334439092509615,MODERATE
20.85719547,85.00008882,0,0,0.1563158340038216,LOW
19.92024915,84.34809244,1,1,1.0,HIGH
20.46669861,85.78566649,0,0,0.1580622222985138,LOW
19.85683182,84.87765082,0,0,0.3938347361786528,MODERATE
19.71929977,84.15747033,0,1,0.5922224519242714,MODERATE
19.42042852,84.29122998,0,0,0.38182616729855534,MODERATE
22.44038592,84.75449045,1,1,0.5601989233834525,MODERATE
21.97936838,84.08066231,1,0,0.4892668904427411,MODERATE
20.85054695,85.11902642,0,0,0.43133575107888605,MODERATE
20.2029517,84.44124752,0,1,0.5823642549563748,MODERATE
21.07431802,84.65342938,0,1,0.8343018647347702,HIGH
19.98187393,84.93244426,0,1,0.9261306374961467,HIGH
21.34524854,86.08426573,0,0,0.3397905809292771,MODERATE
20.34632072,82.37808835,1,1,0.6156557539601,MODERATE
